,country_id,pid,city_id,predicted_label
0,PNN,eywttujal8,B2MVH,1
1,PNN,msagwwvcpf,B2MVH,1
2,PNN,cxywc79dxr,B2MVH,1
3,PNN,9kfydhmwko,B2MVH,1
4,PNN,d73djidnac,B2MVH,1
5,PNN,hmegy9fidw,B2MVH,1
6,PNN,5k2gblh6ry,B2MVH,1
7,PNN,52hxi6fhgd,B2MVH,1
8,PNN,eh4ogemdf2,B2MVH,1
9,PNN,cnhczykqjl,B2MVH,1
10,PNN,clmhsaziqn,B2MVH,1
11,PNN,ccecvtnhse,B2MVH,1
12,PNN,rcdoyu242l,B2MVH,1
13,PNN,nngw4bkrcs,B2MVH,1
14,PNN,57dpd5d2wb,B2MVH,1
15,PNN,3jd77y8hm5,B2MVH,1
16,PNN,cth78vln2r,B2MVH,1
17,PNN,3jhby3ddw8,B2MVH,1
18,PNN,kbelgwn9wq,B2MVH,1
19,PNN,cxxvsdjfza,B2MVH,1
20,PNN,9rk6wvq8jh,B2MVH,1
21,PNN,knor2w59u9,B2MVH,1
22,PNN,cydtxiwjfa,B2MVH,1
23,PNN,tzjbeycst3,B2MVH,1
24,PNN,kv5jkdu4dj,B2MVH,1
25,PNN,6odn5jgkd2,B2MVH,1
26,PNN,mwcvlggcog,B2MVH,1
27,PNN,mfzjtswqi3,B2MVH,1
28,PNN,mvnu6megm7,B2MVH,1
29,PNN,3dpcltizh6,B2MVH,1
30,PNN,ojnwwuh2py,B2MVH,1
31,PNN,qfs3zw6e7w,B2MVH,1
32,PNN,4xysftatzw,B2MVH,1
33,PNN,mfxiw9me6p,B2MVH,1
34,PNN,lydkgzvopx,B2MVH,1
35,PNN,vj3je3ujrj,B2MVH,1
36,PNN,gxavfahaj7,B2MVH,1
37,PNN,j22vtfhyqv,B2MVH,1
38,PNN,t4zkpwktgf,B2MVH,1
39,PNN,4znjbadxjv,B2MVH,1
40,PNN,yq9ywbcnyy,B2MVH,1
41,PNN,pmffy3dhen,B2MVH,1
42,PNN,xghkubttpc,B2MVH,1
43,PNN,rudmerphnr,B2MVH,1
44,PNN,dbzihqyzrl,B2MVH,1
45,PNN,rgjhxdf68h,B2MVH,1
46,PNN,nn4eylfvws,B2MVH,1
47,PNN,virzg7hgqk,B2MVH,1
48,PNN,esckfkcmp6,B2MVH,1
49,PNN,gip9h7zbna,B2MVH,1
50,PNN,wgvasszmbv,B2MVH,1
51,PNN,vjsqcnmywz,B2MVH,1
52,PNN,mmja2ccdim,B2MVH,1
53,PNN,suvx9vbtb9,B2MVH,1
54,PNN,mkuccokmyx,B2MVH,1
55,PNN,rjugwxjvon,B2MVH,1
56,PNN,3qpc8bncvs,B2MVH,1
57,PNN,dopgzjkyzq,B2MVH,1
58,PNN,3oldwpbhcw,B2MVH,1
59,PNN,i9laavchep,B2MVH,1
60,PNN,v77a95j5ui,B2MVH,1
61,PNN,mmqmfm4ku8,B2MVH,1
62,PNN,xjabkhudd2,B2MVH,1
63,PNN,hresd3bqkv,B2MVH,1
64,PNN,kimqtqnlrt,B2MVH,1
65,PNN,kxoupjdp5k,B2MVH,1
66,PNN,kpycy4coe5,B2MVH,1
67,PNN,fzuuvo6wrq,B2MVH,1
68,PNN,d9evlknrqg,B2MVH,1
69,PNN,nnlqg45hac,B2MVH,1
70,PNN,hqqyu8kvjo,B2MVH,1
71,PNN,us5jhjg97p,B2MVH,1
72,PNN,ftrrgl8ds5,B2MVH,1
73,PNN,lptzepldam,B2MVH,1
74,PNN,ty499pcsks,B2MVH,1
75,PNN,ikjdjpvi9k,B2MVH,1
76,PNN,jaktbqfn86,B2MVH,1
77,PNN,kxj5evxecb,B2MVH,1
78,PNN,kqq7ezseew,B2MVH,1
79,PNN,ih8xfp9oyp,B2MVH,1
80,PNN,jmgvmpdppt,B2MVH,1
81,PNN,dvwrvvbmfu,B2MVH,1
82,PNN,qehdcvcuyz,B2MVH,1
83,PNN,3jhszouxih,B2MVH,1
84,PNN,quwy7rbzam,B2MVH,1
85,PNN,kvmrunldhj,B2MVH,1
86,PNN,6smukbeigl,B2MVH,1
87,PNN,8p75bu8swe,B2MVH,1
88,PNN,9unkgygeye,B2MVH,1
89,PNN,fps5dt5rdv,B2MVH,1
90,PNN,tfegjvzhvc,B2MVH,1
91,PNN,6vvzirmqvy,B2MVH,1
92,PNN,zub7uepxtf,B2MVH,1
93,PNN,uw8fodzkaq,B2MVH,1
94,PNN,esw2jf8abp,B2MVH,1
95,PNN,bmuzesvg2c,B2MVH,1
96,PNN,f4a7vxj7wv,B2MVH,1
97,PNN,g3uwcupb3e,B2MVH,1
98,PNN,b67ffu3sxr,B2MVH,1
99,PNN,vhup9w8wvr,B2MVH,1
100,PNN,jqlg4bgke6,B2MVH,1
101,PNN,ss5pjbpkcv,B2MVH,1
102,PNN,lth4y7ddnk,B2MVH,1
103,PNN,st77tdcpga,B2MVH,1
104,PNN,kt6nfxmtz8,B2MVH,1
105,PNN,hxmjab8e88,B2MVH,1
106,PNN,hkwpglbpgc,B2MVH,1
107,PNN,hwwmyy365j,B2MVH,1
108,PNN,fsj23bxenu,B2MVH,1
109,PNN,esn6ydjxto,B2MVH,1
110,PNN,bojngzk2qu,B2MVH,1
111,PNN,stkyzzwfxl,B2MVH,1
112,PNN,mhko6mktb2,B2MVH,1
113,PNN,5fgtn2jydy,B2MVH,1
114,PNN,pirqukrgaz,B2MVH,1
115,PNN,5zam5qzejj,B2MVH,1
116,PNN,d3yg8zmysh,B2MVH,1
117,PNN,4zxvz3k85s,B2MVH,1
118,PNN,lqxmjzsxgk,B2MVH,1
119,PNN,syipqredgg,B2MVH,1
120,PNN,f2g5gbyxj5,B2MVH,1
121,PNN,xrffj4fksz,B2MVH,1
122,PNN,79qknckxva,B2MVH,1
123,PNN,2hwk29xqju,B2MVH,1
124,PNN,ecxhfgqytv,B2MVH,1
125,PNN,tzktd2qhjs,B2MVH,1
126,PNN,egnsvulb3y,B2MVH,1
127,PNN,6jkpjvb3mm,B2MVH,1
128,PNN,fbbiyrywlu,B2MVH,1
129,PNN,79redfbhzg,B2MVH,1
130,PNN,bwyzwhuaoc,B2MVH,1
131,PNN,hohgrvmxck,B2MVH,1
132,PNN,anwgrrncwn,B2MVH,1
133,PNN,plowgt2jly,B2MVH,1
134,PNN,8v9chwdwqx,B2MVH,1
135,PNN,fhfu66w3b3,B2MVH,1
136,PNN,8n3mj6qpdn,B2MVH,1
137,PNN,nscejmcmcp,B2MVH,1
138,PNN,qsgjmj4mxz,B2MVH,1
139,PNN,ckuph7nkpf,B2MVH,1
140,PNN,w5nertcxuq,B2MVH,1
141,PNN,ajcnzzlcau,B2MVH,1
142,PNN,cymbpufaud,B2MVH,1
143,PNN,cc3dlhuwvc,B2MVH,1
144,PNN,fexkagk9re,B2MVH,1
145,PNN,idfut2tiq4,B2MVH,1
146,PNN,hnp85sfrar,B2MVH,1
147,PNN,yz7wt296gt,B2MVH,1
148,PNN,9r2x4fgmz4,B2MVH,1
149,PNN,apmmw7hsew,B2MVH,1
150,PNN,nistyedc8d,B2MVH,1
151,PNN,x3qxgp5ekr,B2MVH,1
152,PNN,wghnwzvw2u,B2MVH,1
153,PNN,fm8gdvbtm7,B2MVH,1
154,PNN,tc9mz6ijeu,B2MVH,1
155,PNN,yj2nwwqo2m,B2MVH,1
156,PNN,a9r5oo6dfp,B2MVH,1
157,PNN,3vwggqrncp,B2MVH,1
158,PNN,9mthjsriyy,B2MVH,1
159,PNN,37ujeeklhh,B2MVH,1
160,PNN,p4azbuq7dx,B2MVH,1
161,PNN,fdthxsamjz,B2MVH,1
162,PNN,ycyzpsjqcs,B2MVH,1
163,PNN,xd74tpuumg,B2MVH,1
164,PNN,kcmvoh9zy9,B2MVH,1
165,PNN,mzyfdaw7yr,B2MVH,1
166,PNN,o2vxufunol,B2MVH,1
167,PNN,ygdw28etna,B2MVH,1
168,PNN,mubrbzjyom,B2MVH,1
169,PNN,j7wk57pukc,B2MVH,1
170,PNN,xwwmqthflu,B2MVH,1
171,PNN,m5zxeqgnda,B2MVH,1
172,PNN,svpyxgtfw4,B2MVH,1
173,PNN,eqcluqsk4r,B2MVH,1
174,PNN,eskod7fyms,B2MVH,1
175,PNN,dkq2pvxoca,B2MVH,1
